timestamp,pid,cpu_seconds,working_set_mb,private_memory_mb
2026-05-21T12:53:02.1165372+05:30,2964,0.25,44.05,50.28
2026-05-21T12:53:02.1261764+05:30,8368,0.33,37.78,50.51
2026-05-21T12:53:02.1341522+05:30,13468,108.47,144.55,153.69
2026-05-21T12:53:02.1410653+05:30,15760,1.84,88.39,94.39
2026-05-21T12:53:02.1562369+05:30,24552,0.25,44.1,50.6
2026-05-21T12:53:07.1772612+05:30,2572,10.55,81.32,62.61
2026-05-21T12:53:07.1772612+05:30,2964,0.25,44.05,50.28
2026-05-21T12:53:07.1859638+05:30,8368,0.33,37.78,50.51
2026-05-21T12:53:07.1994976+05:30,13468,109.91,148.78,158.33
2026-05-21T12:53:07.2043571+05:30,15760,1.86,88.37,94.36
2026-05-21T12:53:07.2146577+05:30,24552,0.25,44.08,50.56
2026-05-21T12:53:12.2333198+05:30,2572,10.55,81.32,62.61
2026-05-21T12:53:12.2354418+05:30,2964,0.25,44.06,50.25
2026-05-21T12:53:12.2507373+05:30,8368,0.33,37.78,50.51
2026-05-21T12:53:12.2607942+05:30,13468,111.91,145.32,156.11
2026-05-21T12:53:12.2733246+05:30,15760,1.89,88.68,94.8
2026-05-21T12:53:12.2864135+05:30,24552,0.25,44.08,50.56
2026-05-21T12:53:17.3122042+05:30,2572,10.55,81.32,62.61
2026-05-21T12:53:17.3147042+05:30,2964,0.25,44.06,50.25
2026-05-21T12:53:17.3235775+05:30,8368,0.33,37.78,50.51
2026-05-21T12:53:17.3310927+05:30,13468,113.86,145.58,155.12
2026-05-21T12:53:17.3341934+05:30,15760,1.95,88.99,95.49
2026-05-21T12:53:17.3452064+05:30,24552,0.25,44.08,50.56
2026-05-21T12:53:22.3719724+05:30,2572,10.55,81.32,62.61
2026-05-21T12:53:22.3730090+05:30,2964,0.25,44.06,50.25
2026-05-21T12:53:22.3814056+05:30,8368,0.33,37.78,50.51
2026-05-21T12:53:22.3887142+05:30,13468,115.78,148.31,158.31
2026-05-21T12:53:22.3954211+05:30,15760,1.95,88.99,95.49
2026-05-21T12:53:22.4092973+05:30,24552,0.25,44.08,50.56
2026-05-21T12:53:27.4291858+05:30,2572,10.55,81.32,62.61
2026-05-21T12:53:27.4296841+05:30,2964,0.25,44.06,50.25
2026-05-21T12:53:27.4374292+05:30,8368,0.33,37.78,50.51
2026-05-21T12:53:27.4411906+05:30,13468,117.52,144.52,154
2026-05-21T12:53:27.4538135+05:30,15760,1.95,88.99,95.49
2026-05-21T12:53:27.4631362+05:30,24552,0.25,44.08,50.56
2026-05-21T12:53:32.4926391+05:30,2572,10.55,81.32,62.61
2026-05-21T12:53:32.4926391+05:30,2964,0.25,44.06,50.25
2026-05-21T12:53:32.5059096+05:30,8368,0.33,37.78,50.51
2026-05-21T12:53:32.5156728+05:30,13468,119.39,147.58,157.76
2026-05-21T12:53:32.5251631+05:30,15760,1.95,88.99,95.49
2026-05-21T12:53:32.5345134+05:30,24552,0.25,44.08,50.56
2026-05-21T12:53:37.5501446+05:30,2572,10.55,81.32,62.61
2026-05-21T12:53:37.5512026+05:30,2964,0.25,44.06,50.25
2026-05-21T12:53:37.5615889+05:30,8368,0.33,37.78,50.51
2026-05-21T12:53:37.5749222+05:30,13468,121.58,147.64,157.19
2026-05-21T12:53:37.5856042+05:30,15760,2.06,88.84,95.57
2026-05-21T12:53:37.5925097+05:30,24552,0.25,44.08,50.56
2026-05-21T12:53:42.6127664+05:30,2572,10.55,81.32,62.61
2026-05-21T12:53:42.6157910+05:30,2964,0.25,44.06,50.25
2026-05-21T12:53:42.6330609+05:30,8368,0.33,37.78,50.51
2026-05-21T12:53:42.6413889+05:30,13468,123.58,152.18,162.42
2026-05-21T12:53:42.6541711+05:30,15760,2.08,91.18,99.4
2026-05-21T12:53:42.6628853+05:30,24552,0.25,44.08,50.56
2026-05-21T12:53:47.6790468+05:30,2572,10.55,81.32,62.61
2026-05-21T12:53:47.6790468+05:30,2964,0.25,44.06,50.25
2026-05-21T12:53:47.6906709+05:30,8368,0.33,37.78,50.51
2026-05-21T12:53:47.6992266+05:30,13468,125.39,152.61,162.44
2026-05-21T12:53:47.7093761+05:30,15760,2.09,91.19,99.4
2026-05-21T12:53:47.7204527+05:30,24552,0.25,44.08,50.56
2026-05-21T12:53:52.7448573+05:30,2572,10.55,81.32,62.61
2026-05-21T12:53:52.7460348+05:30,2964,0.25,44.06,50.25
2026-05-21T12:53:52.7584429+05:30,8368,0.33,37.78,50.51
2026-05-21T12:53:52.7668934+05:30,13468,126.81,139.43,149.79
2026-05-21T12:53:52.7747466+05:30,15760,2.09,91.19,99.4
2026-05-21T12:53:52.7835173+05:30,24552,0.25,44.08,50.56
